surface,x,y,var_x,var_y,cov,n,idx,z,boundary_axis_idx1,boundary_axis_idx2,yaxis,zaxis,area_over,matching
0,21.58138004,5.082041018,2.225585559,0.100821063,0.001550997,235,10,0,0,2,5.5,0,17.04286278,3
1,22.33465083,5.5,3.835110687,0.130182866,0.025018872,773,60,1.012450519,0,1,5.5,1.5,29.42873167,3
2,22.97327161,1.804557134,3.418113741,0.059559276,8.97e-05,222,9,1.5,0,0,0,0,0,3
0,36.19889503,2.590759174,2.77712649,0.175442873,0.001221464,348,9,0,0,0,0,0,0,4
2,37.69060773,4.650328301,1.901204882,0.243551921,-0.000600347,336,8,1.5,0,4,5.5,1.5,9.247221233,4
3,37.79005525,0,0.56248283,0.006055653,0.000469882,65,20,0.620681713,0,0,0,0,0,4
0,64.24309392,3.618142089,1.74566611,0.273803499,0.001368715,345,7,0,0,0,0,0,0,6
2,64.74240951,3.315233113,1.905441881,0.238737165,-0.000803845,335,7,1.5,0,0,0,0,0,6
0,74.89378259,4.65520788,0.477862787,0.044609443,-0.000943011,71,6,0,0,0,0,0,0,8
2,74.93569061,1.914151203,1.423111469,0.060280956,0.004821154,125,4,1.5,0,0,0,0,0,8
2,101.3389343,3.800348849,2.236158398,0.23954386,-0.000550435,363,3,1.5,0,0,0,0,0,10
0,101.8342541,3.254987123,2.405166757,0.351903383,0.00018878,459,4,0,0,0,0,0,0,10
1,110.7292227,5.5,5.499991206,0.129836994,0.034036115,935,6,1.011495725,0,1,5.5,1.5,42.97603051,11
0,111.3916055,5.323549775,2.421332647,0.030234395,0.005012738,134,3,0,0,2,5.5,0,22.81973094,11
2,123.6132597,4.775333164,0.664448582,0.045031327,-0.000487302,82,2,1.5,0,0,0,0,0,12
0,125.003409,2.470164327,0.867533687,0.044213621,-0.000320576,94,2,0,0,0,0,0,0,12
2,132.7656389,1.869000111,0.874270124,0.043054357,0.000262299,93,1,1.5,0,0,0,0,0,13
0,133.8563536,4.894712526,0.750954913,0.07972445,0.00050972,119,1,0,0,2,5.5,0,2.015438063,13
